ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,matmulNaive,matmulNaive..float..,"11,18","0,00","98,18","98,18",40,"  128,  128,    1","   16,   16,    1"
1,0.00,matmulTiled,matmulTiled..float..,"8,46","0,00","97,36","97,36",38,"  128,  128,    1","   16,   16,    1"
